year;countryName;deaths;intervaldeath;injuries;intervalinjuries;damagemillionsdollars;intervaldamagemillionsdollars;depth;intervaldepth;magnitude;intervalmagnitude;temperature;intervaltemperature;sealevelrise;intervalsealevelrise;co2emissions;intervalco2;povertylevel;intervalpovertylevel;populationdensity;intervalpopulationdensity;intensity;sismicscore
2011;United States of America;;Not specified;;Not specified;;Not specified;136.3;Not specified;5.02;5-6;;Not specified;8.43;0-15;;Not specified;;Not specified;;Not specified;;6.52209279817015
2011;Canada;;Not specified;;Not specified;;Not specified;1;Not specified;5.46;5-6;20.0556;20-30;8.43;0-15;549290;500000-1000000;0.1;0-2;3.83012;0-100;;4.17438726989564
2011;Japan;;Not specified;;Not specified;;Not specified;100.8;Not specified;5.2;5-6;7.61111;0-10;8.43;0-15;1213520;1000000-2000000;;Not specified;350.708;300-500;;6.56103066589657
2011;Argentina;;Not specified;;Not specified;;Not specified;578.9;Not specified;6.53;6-7;25;20-30;8.43;0-15;176640;0-500000;0.3;0-2;15.0772;0-100;;6.12905021006055
2012;Peru;;Not specified;;Not specified;;Not specified;43;Not specified;6.32;6-7;20.1667;20-30;19.26;15-35;48120;0-500000;1.8;0-2;23.2419;0-100;;6.35957386867238
2012;Indonesia;;Not specified;;Not specified;;Not specified;82;Not specified;5.3;5-6;26.2778;20-30;19.26;15-35;481510;0-500000;2.3;2-5;133.273;100-200;;7.31455283232408
2012;Bolivia;;Not specified;;Not specified;;Not specified;197.2;Not specified;5.1;5-6;8.61111;0-10;19.26;15-35;17420;0-500000;3;2-5;9.75694;0-100;;4.85981240436167
2012;Philippines;;Not specified;;Not specified;;Not specified;192.9;Not specified;5.1;5-6;26.7778;20-30;19.26;15-35;86180;0-500000;2.4;2-5;328.78;300-500;;6.23832462503951
2012;Kenya;;Not specified;;Not specified;;Not specified;10;Not specified;5.2;5-6;22.2778;20-30;19.26;15-35;12150;0-500000;;Not specified;76.8279;0-100;;1.6094379124341
2012;Dominican Rep.;;Not specified;;Not specified;;Not specified;39.8;Not specified;5.63;5-6;;Not specified;19.26;15-35;;Not specified;;Not specified;;Not specified;;
2012;Indonesia;;Not specified;;Not specified;;Not specified;35;Not specified;5.2;5-6;26.2778;20-30;19.26;15-35;481510;0-500000;2.3;2-5;133.273;100-200;;7.31455283232408
2012;New Zealand;;Not specified;;Not specified;;Not specified;74.9;Not specified;5.11;5-6;19.2778;10-20;19.26;15-35;32110;0-500000;;Not specified;16.7411;0-100;;5.65948221575962
2012;Papua New Guinea;;Not specified;;Not specified;;Not specified;167.7;Not specified;5.1;5-6;;Not specified;19.26;15-35;4890;0-500000;;Not specified;17.7241;0-100;;7.22766249872865
2012;Canada;;Not specified;;Not specified;;Not specified;10;Not specified;5.11;5-6;3.38889;0-10;19.26;15-35;546210;500000-1000000;0.1;0-2;3.87194;0-100;;4.17438726989564
2012;Guatemala;;Not specified;;Not specified;;Not specified;82.3;Not specified;5.63;5-6;18.3889;10-20;19.26;15-35;12150;0-500000;;Not specified;137.943;100-200;;4.66343909411207
2012;Solomon Is.;;Not specified;;Not specified;;Not specified;62;Not specified;5.1;5-6;;Not specified;19.26;15-35;;Not specified;;Not specified;;Not specified;;4.20469261939097
2012;Afghanistan;;Not specified;;Not specified;;Not specified;50.2;Not specified;5.1;5-6;;Not specified;19.26;15-35;8080;0-500000;;Not specified;46.7113;0-100;;5.9427993751267
2012;Mexico;;Not specified;;Not specified;;Not specified;68.8;Not specified;5.63;5-6;25.1111;20-30;19.26;15-35;486450;0-500000;1.2;0-2;59.5468;0-100;;6.02344759296103
2012;Azerbaijan;;Not specified;;Not specified;;Not specified;10;Not specified;5.63;5-6;;Not specified;19.26;15-35;30110;0-500000;;Not specified;112.461;100-200;;3.71357206670431
2012;Pakistan;;Not specified;;Not specified;;Not specified;10;Not specified;5.3;5-6;37.8889;30-50;19.26;15-35;143810;0-500000;;Not specified;262.305;200-300;;5.57972982598622
2012;Chile;;Not specified;;Not specified;;Not specified;54.3;Not specified;5.11;5-6;;Not specified;19.26;15-35;78410;0-500000;;Not specified;23.3235;0-100;;6.85646198459459
2011;Argentina;;Not specified;;Not specified;;Not specified;556.7;Not specified;5.79;5-6;25;20-30;8.43;0-15;176640;0-500000;0.3;0-2;15.0772;0-100;;6.12905021006055
2011;Argentina;;Not specified;;Not specified;;Not specified;563.4;Not specified;5.55;5-6;25;20-30;8.43;0-15;176640;0-500000;0.3;0-2;15.0772;0-100;;6.12905021006055
2011;New Zealand;;Not specified;;Not specified;;Not specified;10.6;Not specified;5.2;5-6;11.0556;10-20;8.43;0-15;30290;0-500000;;Not specified;16.6496;0-100;;5.65948221575962
2011;Australia;;Not specified;;Not specified;;Not specified;7;Not specified;5.2;5-6;12.1667;10-20;8.43;0-15;386380;0-500000;;Not specified;2.90799;0-100;;3.55534806148941
2011;Japan;;Not specified;;Not specified;;Not specified;77;Not specified;5.87;5-6;7.61111;0-10;8.43;0-15;1213520;1000000-2000000;;Not specified;350.708;300-500;;6.56103066589657
2011;Papua New Guinea;;Not specified;;Not specified;;Not specified;53.9;Not specified;5.2;5-6;;Not specified;8.43;0-15;5160;0-500000;;Not specified;17.2385;0-100;;7.22766249872865
2011;Japan;;Not specified;;Not specified;;Not specified;10;Not specified;5.29;5-6;7.61111;0-10;8.43;0-15;1213520;1000000-2000000;;Not specified;350.708;300-500;;6.56103066589657
2011;Japan;;Not specified;;Not specified;;Not specified;32;Not specified;5.46;5-6;7.61111;0-10;8.43;0-15;1213520;1000000-2000000;;Not specified;350.708;300-500;;6.56103066589657
2011;Japan;;Not specified;;Not specified;;Not specified;37;Not specified;5.71;5-6;7.61111;0-10;8.43;0-15;1213520;1000000-2000000;;Not specified;350.708;300-500;;6.56103066589657
2011;Philippines;;Not specified;;Not specified;;Not specified;35.4;Not specified;5.29;5-6;25.6111;20-30;8.43;0-15;82630;0-500000;;Not specified;323.097;300-500;;6.23832462503951
2011;Papua New Guinea;;Not specified;;Not specified;;Not specified;53.7;Not specified;5.2;5-6;;Not specified;8.43;0-15;5160;0-500000;;Not specified;17.2385;0-100;;7.22766249872865
2011;United States of America;;Not specified;;Not specified;;Not specified;20.1;Not specified;5.2;5-6;;Not specified;8.43;0-15;;Not specified;;Not specified;;Not specified;;6.52209279817015
2011;Papua New Guinea;;Not specified;;Not specified;;Not specified;18.2;Not specified;5.3;5-6;;Not specified;8.43;0-15;5160;0-500000;;Not specified;17.2385;0-100;;7.22766249872865
2011;Papua New Guinea;;Not specified;;Not specified;;Not specified;7;Not specified;5.79;5-6;;Not specified;8.43;0-15;5160;0-500000;;Not specified;17.2385;0-100;;7.22766249872865
2011;Turkey;;Not specified;;Not specified;;Not specified;7;Not specified;5.87;5-6;15.3333;10-20;8.43;0-15;;Not specified;;Not specified;;Not specified;;6.02344759296103
2011;Chile;;Not specified;;Not specified;;Not specified;36.5;Not specified;5.38;5-6;;Not specified;8.43;0-15;76470;0-500000;0.3;0-2;23.0973;0-100;;6.85646198459459
2011;Argentina;;Not specified;;Not specified;;Not specified;532.3;Not specified;5.55;5-6;25;20-30;8.43;0-15;176640;0-500000;0.3;0-2;15.0772;0-100;;6.12905021006055
2011;New Zealand;;Not specified;;Not specified;;Not specified;114.2;Not specified;5.2;5-6;11.0556;10-20;8.43;0-15;30290;0-500000;;Not specified;16.6496;0-100;;5.65948221575962
2011;Indonesia;;Not specified;;Not specified;;Not specified;22.1;Not specified;5.29;5-6;27.5;20-30;8.43;0-15;475310;0-500000;2.9;2-5;131.61;100-200;;7.31455283232408
2011;Kazakhstan;;Not specified;;Not specified;;Not specified;23.2;Not specified;5.29;5-6;-19;<0;8.43;0-15;245450;0-500000;0;0-2;6.13298;0-100;;3.36729582998647
2011;Japan;;Not specified;;Not specified;;Not specified;10;Not specified;5.2;5-6;7.61111;0-10;8.43;0-15;1213520;1000000-2000000;;Not specified;350.708;300-500;;6.56103066589657
2011;Japan;;Not specified;;Not specified;;Not specified;54.8;Not specified;5.2;5-6;7.61111;0-10;8.43;0-15;1213520;1000000-2000000;;Not specified;350.708;300-500;;6.56103066589657
2011;Iran;;Not specified;;Not specified;;Not specified;13;Not specified;5.29;5-6;;Not specified;8.43;0-15;;Not specified;;Not specified;46.2768;0-100;;6.56807791141198
2011;Indonesia;;Not specified;;Not specified;;Not specified;2;Not specified;5.55;5-6;27.5;20-30;8.43;0-15;475310;0-500000;2.9;2-5;131.61;100-200;;7.31455283232408
2011;Indonesia;;Not specified;;Not specified;;Not specified;10;Not specified;5.4;5-6;27.5;20-30;8.43;0-15;475310;0-500000;2.9;2-5;131.61;100-200;;7.31455283232408
2011;Indonesia;;Not specified;;Not specified;;Not specified;21;Not specified;5.3;5-6;27.5;20-30;8.43;0-15;475310;0-500000;2.9;2-5;131.61;100-200;;7.31455283232408
2011;Indonesia;;Not specified;;Not specified;;Not specified;18.8;Not specified;5.6;5-6;27.5;20-30;8.43;0-15;475310;0-500000;2.9;2-5;131.61;100-200;;7.31455283232408
2011;Indonesia;;Not specified;;Not specified;;Not specified;17;Not specified;6.25;6-7;27.5;20-30;8.43;0-15;475310;0-500000;2.9;2-5;131.61;100-200;;7.31455283232408
2011;China;;Not specified;;Not specified;;Not specified;29.3;Not specified;5.46;5-6;10.2222;10-20;8.43;0-15;9282550;5000000-10000000;2.5;2-5;143.269;100-200;;7.37337430991005
2014;Afghanistan;;Not specified;;Not specified;;Not specified;234.57;Not specified;5.2;5-6;;Not specified;24.85;15-35;4880;0-500000;;Not specified;50.1605;0-100;;5.9427993751267
2011;Japan;;Not specified;;Not specified;;Not specified;56.2;Not specified;5.2;5-6;7.61111;0-10;8.43;0-15;1213520;1000000-2000000;;Not specified;350.708;300-500;;6.56103066589657
2011;Indonesia;;Not specified;;Not specified;;Not specified;22;Not specified;5.71;5-6;27.5;20-30;8.43;0-15;475310;0-500000;2.9;2-5;131.61;100-200;;7.31455283232408
2011;Indonesia;;Not specified;;Not specified;;Not specified;17;Not specified;5.63;5-6;27.5;20-30;8.43;0-15;475310;0-500000;2.9;2-5;131.61;100-200;;7.31455283232408
2011;Eritrea;;Not specified;;Not specified;;Not specified;1.9;Not specified;5.29;5-6;;Not specified;8.43;0-15;570;0-500000;;Not specified;26.4894;0-100;;2.70805020110221
2014;Iceland;;Not specified;;Not specified;;Not specified;5.7;Not specified;5.46;5-6;3.33333;0-10;24.85;15-35;2050;0-500000;0;0-2;3.2657;0-100;;4.70048036579242
2011;Mexico;;Not specified;;Not specified;;Not specified;75.7;Not specified;5.46;5-6;31.1667;30-50;8.43;0-15;478400;0-500000;;Not specified;58.7209;0-100;;6.02344759296103
2011;New Zealand;;Not specified;;Not specified;;Not specified;8.1;Not specified;5.2;5-6;11.0556;10-20;8.43;0-15;30290;0-500000;;Not specified;16.6496;0-100;;5.65948221575962
2011;Chile;;Not specified;;Not specified;;Not specified;32.4;Not specified;5.46;5-6;;Not specified;8.43;0-15;76470;0-500000;0.3;0-2;23.0973;0-100;;6.85646198459459
2011;Chile;;Not specified;;Not specified;;Not specified;9.8;Not specified;5.2;5-6;;Not specified;8.43;0-15;76470;0-500000;0.3;0-2;23.0973;0-100;;6.85646198459459
2011;Peru;;Not specified;;Not specified;;Not specified;141;Not specified;5.2;5-6;18.3889;10-20;8.43;0-15;48430;0-500000;1.9;0-2;23.0295;0-100;;6.35957386867238
2011;Zambia;;Not specified;;Not specified;;Not specified;7.4;Not specified;5.2;5-6;19;10-20;8.43;0-15;3050;0-500000;;Not specified;19.1902;0-100;;2.19722457733622
2011;Kyrgyzstan;;Not specified;;Not specified;;Not specified;20;Not specified;6.1;6-7;-7.66667;<0;8.43;0-15;;Not specified;;Not specified;;Not specified;;
2011;Chile;;Not specified;;Not specified;;Not specified;125.1;Not specified;5.55;5-6;;Not specified;8.43;0-15;76470;0-500000;0.3;0-2;23.0973;0-100;;6.85646198459459
2011;Japan;;Not specified;;Not specified;;Not specified;88.7;Not specified;5.63;5-6;7.61111;0-10;8.43;0-15;1213520;1000000-2000000;;Not specified;350.708;300-500;;6.56103066589657
2011;Indonesia;;Not specified;;Not specified;;Not specified;37.6;Not specified;5.38;5-6;27.5;20-30;8.43;0-15;475310;0-500000;2.9;2-5;131.61;100-200;;7.31455283232408
2011;Indonesia;;Not specified;;Not specified;;Not specified;35;Not specified;5.63;5-6;27.5;20-30;8.43;0-15;475310;0-500000;2.9;2-5;131.61;100-200;;7.31455283232408
2011;Japan;;Not specified;;Not specified;;Not specified;65.5;Not specified;5.38;5-6;7.61111;0-10;8.43;0-15;1213520;1000000-2000000;;Not specified;350.708;300-500;;6.56103066589657
2011;Ecuador;;Not specified;;Not specified;;Not specified;177.2;Not specified;5.79;5-6;;Not specified;8.43;0-15;37100;0-500000;1.8;0-2;61.3534;0-100;;5.11198778835654
2011;Greece;;Not specified;;Not specified;;Not specified;0;Not specified;5.11;5-6;9.94445;0-10;8.43;0-15;84550;0-500000;0.9;0-2;86.1513;0-100;;5.2257466737132
2011;Papua New Guinea;;Not specified;;Not specified;;Not specified;64;Not specified;5.2;5-6;;Not specified;8.43;0-15;5160;0-500000;;Not specified;17.2385;0-100;;7.22766249872865
2011;Philippines;;Not specified;;Not specified;;Not specified;162.8;Not specified;5.46;5-6;25.6111;20-30;8.43;0-15;82630;0-500000;;Not specified;323.097;300-500;;6.23832462503951
2011;Iran;;Not specified;;Not specified;;Not specified;2.7;Not specified;5.2;5-6;;Not specified;8.43;0-15;;Not specified;;Not specified;46.2768;0-100;;6.56807791141198
2011;Japan;;Not specified;;Not specified;;Not specified;44;Not specified;5.87;5-6;7.61111;0-10;8.43;0-15;1213520;1000000-2000000;;Not specified;350.708;300-500;;6.56103066589657
2011;China;;Not specified;;Not specified;;Not specified;10;Not specified;5.71;5-6;10.2222;10-20;8.43;0-15;9282550;5000000-10000000;2.5;2-5;143.269;100-200;;7.37337430991005
2011;Pakistan;;Not specified;;Not specified;;Not specified;37;Not specified;5.79;5-6;16.0556;10-20;8.43;0-15;141700;0-500000;1.3;0-2;257.631;200-300;;5.57972982598622
2011;China;;Not specified;;Not specified;;Not specified;40.1;Not specified;5.29;5-6;10.2222;10-20;8.43;0-15;9282550;5000000-10000000;2.5;2-5;143.269;100-200;;7.37337430991005
2011;Greece;;Not specified;;Not specified;;Not specified;8.6;Not specified;5.2;5-6;9.94445;0-10;8.43;0-15;84550;0-500000;0.9;0-2;86.1513;0-100;;5.2257466737132
2011;United States of America;;Not specified;;Not specified;;Not specified;4.4;Not specified;5.02;5-6;;Not specified;8.43;0-15;;Not specified;;Not specified;;Not specified;;6.52209279817015
2011;Colombia;;Not specified;;Not specified;;Not specified;10;Not specified;5.79;5-6;14.2778;10-20;8.43;0-15;69100;0-500000;2.5;2-5;40.8372;0-100;;5.15905529921453
2011;Papua New Guinea;;Not specified;;Not specified;;Not specified;11.4;Not specified;5.11;5-6;;Not specified;8.43;0-15;5160;0-500000;;Not specified;17.2385;0-100;;7.22766249872865
2011;Papua New Guinea;;Not specified;;Not specified;;Not specified;31.1;Not specified;5.29;5-6;;Not specified;8.43;0-15;5160;0-500000;;Not specified;17.2385;0-100;;7.22766249872865
2011;Japan;;Not specified;;Not specified;;Not specified;57.9;Not specified;5.11;5-6;7.61111;0-10;8.43;0-15;1213520;1000000-2000000;;Not specified;350.708;300-500;;6.56103066589657
2011;Chile;;Not specified;;Not specified;;Not specified;99;Not specified;5.55;5-6;;Not specified;8.43;0-15;76470;0-500000;0.3;0-2;23.0973;0-100;;6.85646198459459
2011;Tajikistan;;Not specified;;Not specified;;Not specified;30;Not specified;5.11;5-6;9.88889;0-10;8.43;0-15;2560;0-500000;;Not specified;55.6217;0-100;;4.97673374242057
2011;Mexico;;Not specified;;Not specified;;Not specified;152.9;Not specified;5.2;5-6;31.1667;30-50;8.43;0-15;478400;0-500000;;Not specified;58.7209;0-100;;6.02344759296103
2011;Indonesia;;Not specified;;Not specified;;Not specified;91;Not specified;6.53;6-7;27.5;20-30;8.43;0-15;475310;0-500000;2.9;2-5;131.61;100-200;;7.31455283232408
2012;Canada;;Not specified;;Not specified;;Not specified;10;Not specified;5.29;5-6;3.38889;0-10;19.26;15-35;546210;500000-1000000;0.1;0-2;3.87194;0-100;;4.17438726989564
2012;Canada;;Not specified;;Not specified;;Not specified;10;Not specified;5.02;5-6;3.38889;0-10;19.26;15-35;546210;500000-1000000;0.1;0-2;3.87194;0-100;;4.17438726989564
2012;Canada;;Not specified;;Not specified;;Not specified;10;Not specified;5.38;5-6;3.38889;0-10;19.26;15-35;546210;500000-1000000;0.1;0-2;3.87194;0-100;;4.17438726989564
2012;Canada;;Not specified;;Not specified;;Not specified;10;Not specified;5.38;5-6;3.38889;0-10;19.26;15-35;546210;500000-1000000;0.1;0-2;3.87194;0-100;;4.17438726989564
2012;Canada;;Not specified;;Not specified;;Not specified;10;Not specified;5.63;5-6;3.38889;0-10;19.26;15-35;546210;500000-1000000;0.1;0-2;3.87194;0-100;;4.17438726989564
2012;Canada;;Not specified;;Not specified;;Not specified;14;Not specified;7.22;7-8;3.38889;0-10;19.26;15-35;546210;500000-1000000;0.1;0-2;3.87194;0-100;;4.17438726989564
2012;Italy;;Not specified;;Not specified;;Not specified;6;Not specified;5.46;5-6;25.5;20-30;19.26;15-35;376750;0-500000;0.8;0-2;201.34;200-300;;4.93447393313069
2012;Peru;;Not specified;;Not specified;;Not specified;24.5;Not specified;5.4;5-6;20.1667;20-30;19.26;15-35;48120;0-500000;1.8;0-2;23.2419;0-100;;6.35957386867238
2012;Costa Rica;;Not specified;;Not specified;;Not specified;17;Not specified;6.39;6-7;22.8889;20-30;19.26;15-35;7450;0-500000;0.6;0-2;92.7652;0-100;;4.56434819146784
2012;Papua New Guinea;;Not specified;;Not specified;;Not specified;48.4;Not specified;5.1;5-6;;Not specified;19.26;15-35;4890;0-500000;;Not specified;17.7241;0-100;;7.22766249872865
2012;Chile;;Not specified;;Not specified;;Not specified;32.5;Not specified;5.1;5-6;;Not specified;19.26;15-35;78410;0-500000;;Not specified;23.3235;0-100;;6.85646198459459
2012;Peru;;Not specified;;Not specified;;Not specified;118.3;Not specified;5.71;5-6;20.1667;20-30;19.26;15-35;48120;0-500000;1.8;0-2;23.2419;0-100;;6.35957386867238
2012;Indonesia;;Not specified;;Not specified;;Not specified;51.2;Not specified;5.2;5-6;26.2778;20-30;19.26;15-35;481510;0-500000;2.3;2-5;133.273;100-200;;7.31455283232408
2012;Indonesia;;Not specified;;Not specified;;Not specified;11.2;Not specified;5.79;5-6;26.2778;20-30;19.26;15-35;481510;0-500000;2.3;2-5;133.273;100-200;;7.31455283232408
2012;China;;Not specified;;Not specified;;Not specified;10;Not specified;5.2;5-6;22.2778;20-30;19.26;15-35;9541870;5000000-10000000;2;2-5;144.244;100-200;;7.37337430991005
2012;Mexico;;Not specified;;Not specified;;Not specified;53;Not specified;6.1;6-7;25.1111;20-30;19.26;15-35;486450;0-500000;1.2;0-2;59.5468;0-100;;6.02344759296103
2012;Chile;;Not specified;;Not specified;;Not specified;63;Not specified;6.1;6-7;;Not specified;19.26;15-35;78410;0-500000;;Not specified;23.3235;0-100;;6.85646198459459
2012;Canada;;Not specified;;Not specified;;Not specified;22.3;Not specified;5.29;5-6;3.38889;0-10;19.26;15-35;546210;500000-1000000;0.1;0-2;3.87194;0-100;;4.17438726989564
2012;Papua New Guinea;;Not specified;;Not specified;;Not specified;49.7;Not specified;5.3;5-6;;Not specified;19.26;15-35;4890;0-500000;;Not specified;17.7241;0-100;;7.22766249872865
2012;Canada;;Not specified;;Not specified;;Not specified;15.9;Not specified;5.02;5-6;3.38889;0-10;19.26;15-35;546210;500000-1000000;0.1;0-2;3.87194;0-100;;4.17438726989564
2012;Guatemala;;Not specified;;Not specified;;Not specified;115.1;Not specified;5.2;5-6;18.3889;10-20;19.26;15-35;12150;0-500000;;Not specified;137.943;100-200;;4.66343909411207
2012;Canada;;Not specified;;Not specified;;Not specified;10;Not specified;5.11;5-6;3.38889;0-10;19.26;15-35;546210;500000-1000000;0.1;0-2;3.87194;0-100;;4.17438726989564
2012;Kyrgyzstan;;Not specified;;Not specified;;Not specified;10;Not specified;5.2;5-6;-7.61111;<0;19.26;15-35;;Not specified;;Not specified;;Not specified;;
2012;Mongolia;;Not specified;;Not specified;;Not specified;2.2;Not specified;5.4;5-6;-19.2222;<0;19.26;15-35;17140;0-500000;0.1;0-2;1.79313;0-100;;4.00733318523247
2012;Philippines;;Not specified;;Not specified;;Not specified;10;Not specified;5.3;5-6;26.7778;20-30;19.26;15-35;86180;0-500000;2.4;2-5;328.78;300-500;;6.23832462503951
2012;Chile;;Not specified;;Not specified;;Not specified;46.2;Not specified;5.2;5-6;;Not specified;19.26;15-35;78410;0-500000;;Not specified;23.3235;0-100;;6.85646198459459
2012;Greece;;Not specified;;Not specified;;Not specified;2.5;Not specified;5.38;5-6;9.5;0-10;19.26;15-35;80090;0-500000;0.6;0-2;85.6867;0-100;;5.2257466737132
2012;Chile;;Not specified;;Not specified;;Not specified;49;Not specified;5.46;5-6;;Not specified;19.26;15-35;78410;0-500000;;Not specified;23.3235;0-100;;6.85646198459459
2012;Papua New Guinea;;Not specified;;Not specified;;Not specified;46.7;Not specified;5.4;5-6;;Not specified;19.26;15-35;4890;0-500000;;Not specified;17.7241;0-100;;7.22766249872865
2012;Japan;;Not specified;;Not specified;;Not specified;44;Not specified;5.87;5-6;7.11111;0-10;19.26;15-35;1253610;1000000-2000000;;Not specified;350.148;300-500;;6.56103066589657
2012;Indonesia;;Not specified;;Not specified;;Not specified;18.4;Not specified;5.2;5-6;26.2778;20-30;19.26;15-35;481510;0-500000;2.3;2-5;133.273;100-200;;7.31455283232408
2012;Japan;;Not specified;;Not specified;;Not specified;66.2;Not specified;5.1;5-6;7.11111;0-10;19.26;15-35;1253610;1000000-2000000;;Not specified;350.148;300-500;;6.56103066589657
2012;Argentina;;Not specified;;Not specified;;Not specified;586.9;Not specified;6.53;6-7;25.6111;20-30;19.26;15-35;177960;0-500000;0.3;0-2;15.2495;0-100;;6.12905021006055
2012;Argentina;;Not specified;;Not specified;;Not specified;150.4;Not specified;5.55;5-6;25.6111;20-30;19.26;15-35;177960;0-500000;0.3;0-2;15.2495;0-100;;6.12905021006055
2012;Bulgaria;;Not specified;;Not specified;;Not specified;10;Not specified;5.71;5-6;-2;<0;19.26;15-35;45020;0-500000;0.8;0-2;67.2982;0-100;;2.30258509299405
2012;Italy;;Not specified;;Not specified;;Not specified;4.7;Not specified;5.2;5-6;25.5;20-30;19.26;15-35;376750;0-500000;0.8;0-2;201.34;200-300;;4.93447393313069
2012;Italy;;Not specified;;Not specified;;Not specified;10;Not specified;5.11;5-6;25.5;20-30;19.26;15-35;376750;0-500000;0.8;0-2;201.34;200-300;;4.93447393313069
2012;Italy;;Not specified;;Not specified;;Not specified;6.3;Not specified;6.03;6-7;25.5;20-30;19.26;15-35;376750;0-500000;0.8;0-2;201.34;200-300;;4.93447393313069
2012;Chile;;Not specified;;Not specified;;Not specified;28;Not specified;5.87;5-6;;Not specified;19.26;15-35;78410;0-500000;;Not specified;23.3235;0-100;;6.85646198459459
2012;Indonesia;;Not specified;;Not specified;;Not specified;14;Not specified;5.46;5-6;26.2778;20-30;19.26;15-35;481510;0-500000;2.3;2-5;133.273;100-200;;7.31455283232408
2012;Australia;;Not specified;;Not specified;;Not specified;10;Not specified;5.2;5-6;6.22222;0-10;19.26;15-35;386970;0-500000;;Not specified;2.9592;0-100;;3.55534806148941
2012;Argentina;;Not specified;;Not specified;;Not specified;22.8;Not specified;5.3;5-6;25.6111;20-30;19.26;15-35;177960;0-500000;0.3;0-2;15.2495;0-100;;6.12905021006055
2012;China;;Not specified;;Not specified;;Not specified;13;Not specified;5.38;5-6;22.2778;20-30;19.26;15-35;9541870;5000000-10000000;2;2-5;144.244;100-200;;7.37337430991005
2012;Turkey;;Not specified;;Not specified;;Not specified;5.4;Not specified;5.3;5-6;-0.444444;<0;19.26;15-35;;Not specified;;Not specified;;Not specified;;6.02344759296103
2012;Peru;;Not specified;;Not specified;;Not specified;88.8;Not specified;5.1;5-6;20.1667;20-30;19.26;15-35;48120;0-500000;1.8;0-2;23.2419;0-100;;6.35957386867238
2012;Indonesia;;Not specified;;Not specified;;Not specified;10.4;Not specified;5.63;5-6;26.2778;20-30;19.26;15-35;481510;0-500000;2.3;2-5;133.273;100-200;;7.31455283232408
2012;Afghanistan;;Not specified;;Not specified;;Not specified;198;Not specified;5.79;5-6;;Not specified;19.26;15-35;8080;0-500000;;Not specified;46.7113;0-100;;5.9427993751267
2012;Guatemala;;Not specified;;Not specified;;Not specified;202.2;Not specified;5.38;5-6;18.3889;10-20;19.26;15-35;12150;0-500000;;Not specified;137.943;100-200;;4.66343909411207
2012;Myanmar;;Not specified;;Not specified;;Not specified;31;Not specified;5.1;5-6;;Not specified;19.26;15-35;11960;0-500000;;Not specified;76.8861;0-100;;5.51745289646471
2012;Dominican Rep.;;Not specified;;Not specified;;Not specified;26.7;Not specified;5.1;5-6;;Not specified;19.26;15-35;;Not specified;;Not specified;;Not specified;;
2012;New Zealand;;Not specified;;Not specified;;Not specified;90.8;Not specified;5.3;5-6;19.2778;10-20;19.26;15-35;32110;0-500000;;Not specified;16.7411;0-100;;5.65948221575962
2012;Papua New Guinea;;Not specified;;Not specified;;Not specified;90.8;Not specified;5.3;5-6;;Not specified;19.26;15-35;4890;0-500000;;Not specified;17.7241;0-100;;7.22766249872865
2012;Papua New Guinea;;Not specified;;Not specified;;Not specified;73;Not specified;6.18;6-7;;Not specified;19.26;15-35;4890;0-500000;;Not specified;17.7241;0-100;;7.22766249872865
2012;Venezuela;;Not specified;;Not specified;;Not specified;10;Not specified;5.02;5-6;28.3889;20-30;19.26;15-35;;Not specified;;Not specified;32.987;0-100;;4.24849524204936
2012;Japan;;Not specified;;Not specified;;Not specified;25.1;Not specified;5.2;5-6;7.11111;0-10;19.26;15-35;1253610;1000000-2000000;;Not specified;350.148;300-500;;6.56103066589657
2012;Chile;;Not specified;;Not specified;;Not specified;81.8;Not specified;5.63;5-6;;Not specified;19.26;15-35;78410;0-500000;;Not specified;23.3235;0-100;;6.85646198459459
2012;Costa Rica;;Not specified;;Not specified;;Not specified;26.4;Not specified;5.46;5-6;22.8889;20-30;19.26;15-35;7450;0-500000;0.6;0-2;92.7652;0-100;;4.56434819146784
2012;Indonesia;;Not specified;;Not specified;;Not specified;20;Not specified;5.71;5-6;26.2778;20-30;19.26;15-35;481510;0-500000;2.3;2-5;133.273;100-200;;7.31455283232408
2012;Indonesia;;Not specified;;Not specified;;Not specified;35;Not specified;5.1;5-6;26.2778;20-30;19.26;15-35;481510;0-500000;2.3;2-5;133.273;100-200;;7.31455283232408
2012;Chile;;Not specified;;Not specified;;Not specified;122;Not specified;5.79;5-6;;Not specified;19.26;15-35;78410;0-500000;;Not specified;23.3235;0-100;;6.85646198459459
2012;India;;Not specified;;Not specified;;Not specified;36.8;Not specified;5.2;5-6;27.2222;20-30;19.26;15-35;1909440;1000000-2000000;;Not specified;428.66;300-500;;5.15905529921453
2012;Indonesia;;Not specified;;Not specified;;Not specified;105.1;Not specified;5.3;5-6;26.2778;20-30;19.26;15-35;481510;0-500000;2.3;2-5;133.273;100-200;;7.31455283232408
2012;Philippines;;Not specified;;Not specified;;Not specified;51.5;Not specified;5.3;5-6;26.7778;20-30;19.26;15-35;86180;0-500000;2.4;2-5;328.78;300-500;;6.23832462503951
2012;Myanmar;;Not specified;;Not specified;;Not specified;13.7;Not specified;6.59;6-7;;Not specified;19.26;15-35;11960;0-500000;;Not specified;76.8861;0-100;;5.51745289646471
