year;countryName;deaths;intervaldeath;injuries;intervalinjuries;damagemillionsdollars;intervaldamagemillionsdollars;depth;intervaldepth;magnitude;intervalmagnitude;temperature;intervaltemperature;sealevelrise;intervalsealevelrise;co2emissions;intervalco2;povertylevel;intervalpovertylevel;populationdensity;intervalpopulationdensity;intensity;sismicscore
1993;Afghanistan;;Not specified;;Not specified;;Not specified;204.2;Not specified;6.32;6-7;;Not specified;-34.61;<0;1340;0-500000;;Not specified;21.4706;0-100;;5.9427993751267
1993;Tajikistan;;Not specified;;Not specified;;Not specified;16.1;Not specified;5.1;5-6;;Not specified;-34.61;<0;5170;0-500000;;Not specified;40.8531;0-100;;4.97673374242057
1993;Indonesia;;Not specified;;Not specified;;Not specified;34.1;Not specified;5.63;5-6;;Not specified;-34.61;<0;185090;0-500000;20.2;20-35;105.84;100-200;;7.31455283232408
1993;Indonesia;;Not specified;;Not specified;;Not specified;33;Not specified;5.3;5-6;;Not specified;-34.61;<0;185090;0-500000;20.2;20-35;105.84;100-200;;7.31455283232408
1993;Papua New Guinea;;Not specified;;Not specified;;Not specified;60.8;Not specified;5.63;5-6;;Not specified;-34.61;<0;2210;0-500000;;Not specified;9.47663;0-100;;7.22766249872865
1993;Mexico;;Not specified;;Not specified;;Not specified;61.6;Not specified;5.38;5-6;;Not specified;-34.61;<0;300670;0-500000;;Not specified;44.5734;0-100;;6.02344759296103
1993;Papua New Guinea;;Not specified;;Not specified;;Not specified;95.7;Not specified;5.55;5-6;;Not specified;-34.61;<0;2210;0-500000;;Not specified;9.47663;0-100;;7.22766249872865
1993;Argentina;;Not specified;;Not specified;;Not specified;170.3;Not specified;5.3;5-6;;Not specified;-34.61;<0;110260;0-500000;1.2;0-2;12.4337;0-100;;6.12905021006055
1993;Peru;;Not specified;;Not specified;;Not specified;54.1;Not specified;5.55;5-6;;Not specified;-34.61;<0;21800;0-500000;;Not specified;18.3702;0-100;;6.35957386867238
1993;United States of America;;Not specified;;Not specified;;Not specified;8.53;Not specified;5.46;5-6;;Not specified;-34.61;<0;;Not specified;;Not specified;;Not specified;;6.52209279817015
